
Host: smg13363-ws

Timers On : Tue Jan  5 09:34:01 2021
Timers Off: Tue Jan  5 09:34:38 2021

Wall Time:       36.24 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| JK: USO2AO                        :      0.017u      0.000s      0.010w    175 calls
| JK: JK                            :      1.100u      0.000s      0.616w    175 calls
| | PK computes JK                  :      1.100u      0.000s      0.616w    175 calls
| JK: AO2USO                        :      0.000u      0.000s      0.013w    175 calls
HF: Form F                          :      0.017u      0.000s      0.001w    175 calls
HF: Form D                          :      0.000u      0.000s      0.002w    175 calls
HF: DIIS                            :      0.100u      0.000s      0.068w    170 calls
| DIISManager::add_entry            :      0.017u      0.000s      0.008w    160 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.014w    160 calls
| | bMatrix setup                   :      0.000u      0.000s      0.005w    160 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.004w    160 calls
| | New vector                      :      0.000u      0.000s      0.004w    160 calls
HF: Form C                          :      0.033u      0.000s      0.032w    170 calls
Grad: V T Perturb                   :      0.267u      0.083s      0.212w     15 calls
Grad: S                             :      0.033u      0.000s      0.009w     15 calls
Grad: JK                            :     19.667u      0.000s     11.836w     15 calls
Grad: XC                            :      0.000u      0.000s      0.000w     15 calls

**************************************************************************************

Host: smg13363-ws

Timers On : Tue Jan  5 09:50:32 2021
Timers Off: Tue Jan  5 09:50:51 2021

Wall Time:       19.50 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
